municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2015-10-06 21:50:00.0;2,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2015-10-06 22:00:00.0;1,4
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2015-10-06 22:10:00.0;4,4
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2015-10-06 22:20:00.0;4,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2015-10-06 22:30:00.0;0,6
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2015-10-06 22:40:00.0;0,6
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2015-10-06 22:50:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2015-10-06 23:00:00.0;0,2
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2015-10-06 23:10:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2015-10-06 23:20:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2015-10-06 23:30:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2015-10-06 23:40:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2015-10-06 23:50:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2015-10-07 00:00:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2015-10-07 00:10:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2015-10-07 00:20:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2015-10-07 00:30:00.0;0,0
