municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-14 17:20:00.0;1,2
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-14 17:30:00.0;0,2
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-14 17:40:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-14 17:50:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 00:10:00.0;0,8
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 00:20:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 00:30:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 00:40:00.0;0,2
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 00:50:00.0;0,4
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 01:00:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 01:10:00.0;0,4
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 01:20:00.0;0,2
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 01:30:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 01:40:00.0;0,2
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 01:50:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 02:00:00.0;0,2
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 02:10:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 02:20:00.0;0,6
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 02:30:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 02:40:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 02:50:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 03:00:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 03:10:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 03:20:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 03:30:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 03:40:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 03:50:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 04:00:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 04:10:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 04:20:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 04:30:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 04:40:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 04:50:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 05:00:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 05:10:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 05:20:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025802A;GO;Parque Aguas Bonitas;-15,755;-48,325;2016-08-17 05:30:00.0;0,0
