municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
ÁGUAS LINDAS DE GOIÁS;520025801A;GO;Mansões Centro Oeste;-15,733;-48,275;2017-05-07 22:00:00.0;0,8
ÁGUAS LINDAS DE GOIÁS;520025801A;GO;Mansões Centro Oeste;-15,733;-48,275;2017-05-07 22:10:00.0;0,8
ÁGUAS LINDAS DE GOIÁS;520025801A;GO;Mansões Centro Oeste;-15,733;-48,275;2017-05-07 22:20:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025801A;GO;Mansões Centro Oeste;-15,733;-48,275;2017-05-07 22:30:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025801A;GO;Mansões Centro Oeste;-15,733;-48,275;2017-05-07 22:40:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025801A;GO;Mansões Centro Oeste;-15,733;-48,275;2017-05-07 22:50:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025801A;GO;Mansões Centro Oeste;-15,733;-48,275;2017-05-07 23:00:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025801A;GO;Mansões Centro Oeste;-15,733;-48,275;2017-05-07 23:10:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025801A;GO;Mansões Centro Oeste;-15,733;-48,275;2017-05-07 23:20:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025801A;GO;Mansões Centro Oeste;-15,733;-48,275;2017-05-07 23:30:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025801A;GO;Mansões Centro Oeste;-15,733;-48,275;2017-05-07 23:40:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025801A;GO;Mansões Centro Oeste;-15,733;-48,275;2017-05-07 23:50:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025801A;GO;Mansões Centro Oeste;-15,733;-48,275;2017-05-08 00:00:00.0;0,0
ÁGUAS LINDAS DE GOIÁS;520025801A;GO;Mansões Centro Oeste;-15,733;-48,275;2017-05-08 00:10:00.0;0,0
